state,date,sector,emissions
California,01/01/2019,Power,0.0740494
California,02/01/2019,Power,0.0847485
California,03/01/2019,Power,0.0869301
California,04/01/2019,Power,0.0843834
California,05/01/2019,Power,0.0885276
California,06/01/2019,Power,0.0889639
California,07/01/2019,Power,0.0888016
California,08/01/2019,Power,0.0893583
California,09/01/2019,Power,0.0883628
California,10/01/2019,Power,0.0910519
California,11/01/2019,Power,0.0944586
California,12/01/2019,Power,0.0957837
California,13/01/2019,Power,0.0968281
California,14/01/2019,Power,0.0978552
California,15/01/2019,Power,0.0961899
California,16/01/2019,Power,0.094433
California,17/01/2019,Power,0.0917025
California,18/01/2019,Power,0.0861446
California,19/01/2019,Power,0.0830236
California,20/01/2019,Power,0.082529
California,21/01/2019,Power,0.0828669
California,22/01/2019,Power,0.0842065
California,23/01/2019,Power,0.0845555
California,24/01/2019,Power,0.0851818
California,25/01/2019,Power,0.0889531
California,26/01/2019,Power,0.0906911
California,27/01/2019,Power,0.091286
California,28/01/2019,Power,0.0920245
California,29/01/2019,Power,0.0928065
California,30/01/2019,Power,0.0943597
California,31/01/2019,Power,0.0945498
California,01/02/2019,Power,0.094889
California,02/02/2019,Power,0.0971315
California,03/02/2019,Power,0.0981749
California,04/02/2019,Power,0.0986769
California,05/02/2019,Power,0.0988956
California,06/02/2019,Power,0.0975384
California,07/02/2019,Power,0.0987801
California,08/02/2019,Power,0.0981882
California,09/02/2019,Power,0.0970946
California,10/02/2019,Power,0.0981682
California,11/02/2019,Power,0.0968649
California,12/02/2019,Power,0.096394
California,13/02/2019,Power,0.0942279
California,14/02/2019,Power,0.0930554
California,15/02/2019,Power,0.0910839
California,16/02/2019,Power,0.0894215
California,17/02/2019,Power,0.0853231
California,18/02/2019,Power,0.0846201
California,19/02/2019,Power,0.0836998
California,20/02/2019,Power,0.0866089
California,21/02/2019,Power,0.0879848
California,22/02/2019,Power,0.0905692
California,23/02/2019,Power,0.0921533
California,24/02/2019,Power,0.0944484
California,25/02/2019,Power,0.0949702
California,26/02/2019,Power,0.0979131
California,27/02/2019,Power,0.0993122
California,28/02/2019,Power,0.0988222
California,01/03/2019,Power,0.0990347
California,02/03/2019,Power,0.0991056
California,03/03/2019,Power,0.0978444
California,04/03/2019,Power,0.0945062
California,05/03/2019,Power,0.0891721
California,06/03/2019,Power,0.0860727
California,07/03/2019,Power,0.0839848
